element_id,player,position,club,player_cost,value_ratio,global_ownership,global_captain_percent,league_ownership,league_captain_percent,league_owner_count,league_owners,points_gw,minutes,status,opponent_team,kickoff_time,fixture_started,fixture_finished
36,Matty Cash,DEF,Aston Villa,4.5,1.78,3.5,1.9,5.0,0.0,1,Max Maier,8,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
37,Lucas Digne,DEF,Aston Villa,4.5,1.33,2.1,1.9,0,0,0,,6,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
38,Ezri Konsa Ngoyo,DEF,Aston Villa,4.5,0.67,19.3,0.0,30.0,0.0,6,Andrew Vidal; John Matthew; Patrick McCleary; Joe Curran; Wes H; Kevin K,3,65,played,Newcastle,2025-08-16T11:30:00Z,True,True
39,Ian Maatsen,DEF,Aston Villa,4.5,0.0,0.9,1.9,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
40,Tyrone Mings,DEF,Aston Villa,4.5,1.33,1.1,1.9,0,0,0,,6,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
41,Pau Torres,DEF,Aston Villa,4.5,0.0,0.5,1.9,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
42,Andrés García,DEF,Aston Villa,4.0,0.0,0.3,0.2,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
43,Álex Moreno Lopera,DEF,Aston Villa,4.0,0.0,9.6,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
44,Lamare Bogarde,DEF,Aston Villa,4.0,0.0,0.3,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
45,Lino da Cruz Sousa,DEF,Aston Villa,4.0,0.0,0.4,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
46,Yasin Özcan,DEF,Aston Villa,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
47,Morgan Rogers,MID,Aston Villa,7.0,0.43,9.7,2.3,15.0,0.0,3,Garrett Kunkel; Brian Pleines; Tony Tharakan,3,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
48,Youri Tielemans,MID,Aston Villa,6.0,0.5,2.2,2.1,0,0,0,,3,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
49,Leon Bailey,MID,Aston Villa,5.5,0.0,0.5,2.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
50,Emiliano Buendía Stati,MID,Aston Villa,5.5,0.0,0.1,2.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
51,Samuel Iling-Junior,MID,Aston Villa,5.5,0.0,0.0,2.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
52,Jacob Ramsey,MID,Aston Villa,5.5,0.0,0.6,2.0,5.0,0.0,1,Garrett Kunkel,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
53,Donyell Malen,MID,Aston Villa,5.5,0.18,1.6,2.0,0,0,0,,1,6,played,Newcastle,2025-08-16T11:30:00Z,True,True
54,John McGinn,MID,Aston Villa,5.5,0.55,0.7,2.0,5.0,0.0,1,Adrian McLoughlin,3,83,played,Newcastle,2025-08-16T11:30:00Z,True,True
55,Ross Barkley,MID,Aston Villa,5.0,0.0,0.1,0.4,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
56,Enzo Barrenechea,MID,Aston Villa,5.0,0.0,0.0,0.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
57,Lewis Dobbin,MID,Aston Villa,5.0,0.0,0.1,1.5,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
58,Boubacar Kamara,MID,Aston Villa,5.0,0.4,0.2,1.5,0,0,0,,2,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
59,Amadou Onana,MID,Aston Villa,5.0,1.0,1.8,1.5,0,0,0,,5,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
60,Ben Broggio,MID,Aston Villa,4.5,0.0,0.3,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
61,Leander Dendoncker,MID,Aston Villa,4.5,0.0,0.4,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,4.5,0.0,0.1,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
63,Kadan Young,MID,Aston Villa,4.5,0.0,0.7,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
64,Ollie Watkins,FWD,Aston Villa,9.0,0.22,26.2,2.8,55.0,5.0,11,John Sebastian; John Matthew; Patrick McCleary; Kevin Tomek; Evan Bagheri; Brian Pleines; Wes H; Kevin K; Brett Swikle; Chris Munoz; Tony Tharakan,2,90,played,Newcastle,2025-08-16T11:30:00Z,True,True
65,Zépiqueno Redmond,FWD,Aston Villa,4.5,0.0,0.9,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
677,Evann Guessand,MID,Aston Villa,6.5,0.0,0.1,2.2,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
688,James Wright,GK,Aston Villa,4.0,0.0,0.3,1.0,0,0,0,,0,0,dnp,Newcastle,2025-08-16T11:30:00Z,True,True
183,Max Weiß,GK,Burnley,4.5,0.0,0.2,2.3,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
184,Etienne Green,GK,Burnley,4.0,0.0,0.4,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
185,Václav Hladký,GK,Burnley,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
186,Connor Roberts,DEF,Burnley,4.5,0.0,0.1,1.9,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
187,Kyle Walker,DEF,Burnley,4.5,0.22,1.9,1.9,0,0,0,,1,90,played,Spurs,2025-08-16T14:00:00Z,True,True
188,Hannes Delcroix,DEF,Burnley,4.0,0.0,0.3,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
189,Owen Dodgson,DEF,Burnley,4.0,0.0,0.0,0.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
190,Hjalmar Ekdal,DEF,Burnley,4.0,0.25,0.2,1.0,0,0,0,,1,90,played,Spurs,2025-08-16T14:00:00Z,True,True
